	Entity1	Entity2	Stength
8861	龙眼罐头	乙二胺四乙酸二钠	1
8860	龙眼罐头	钠	1
8859	黄金鲫	恩诺沙星	1
8858	一枝梅  盐津桃肉	苯甲酸	1
8857	即食海蜇头	铝	23
8856	华湘号精制雪菜	苯甲酸	1
8855	华湘号精制雪菜	钠	1
8854	黑芝麻	铅	1
8853	单晶冰糖	还原糖	8
8852	红海蜇头	铅	1
8851	内脂豆腐	山梨酸	1
8850	内脂豆腐	钾	1
8849	辣酥饼	糖精钠	1
8848	辣酥饼	钠	1
8847	雪饼	霉菌	3
8846	清水金针菇	山梨酸	1
8845	清水金针菇	钾	1
8844	红薯豆面	日落黄	1
8843	石斑鱼	N-二甲基亚硝胺	1
8842	墨鱼条	山梨酸	1
8841	墨鱼条	钾	1
8840	无骨鸡爪	铝	1
8839	加碘粉碎盐	碘	1
8838	天喔饮用天然水	溴酸盐	1
8837	油炸肉皮	氯霉素	1
8836	腊鸭舌	亚硝酸盐	3
8835	腊鸭舌	硝酸盐	3
8834	腊鸭舌	钠	2
8833	红皮鸡蛋	甲硝唑	3
8832	饮用天然水	溴酸盐	8
8831	八宝菜	苯甲酸	1
8830	八宝菜	钠	2
8829	焦糖味瓜子	霉菌	1
8828	蝴蝶酥	柠檬黄	1
8827	散装鸭蛋	氟	1
8826	山核桃仁	二氧化硫	4
8825	碧根果仁	霉菌	1
8824	油蛤	恩诺沙星	1
8823	油蛤	环丙沙星	1
8822	肉鸡	尼卡巴嗪	1
8821	手撕面包	柠檬黄	1
8820	豆皮王中王	山梨酸	1
8819	豆皮王中王	钠	1
8818	香干	铝	3
8817	油菜花粉	霉菌	1
8816	乌鸡	磺胺类	1
8815	杂粮馒头	脱氢乙酸	1
8814	毛毛虫面包	防腐剂	2
8813	鸡肉	尼卡巴嗪	1
8812	腌大蒜	防腐剂	1
8811	舟山小开洋	亚硫酸盐	1
8810	红糖馒头	安赛蜜	7
8809	芝麻麻仁饼干	霉菌	1
8808	鲜活黑鱼	恩诺沙星	1
8807	清香米	镉	1
8806	鸽子肉	恩诺沙星	1
8805	鸽子肉	环丙沙星	1
8804	包装上海青	毒死蜱	1
8803	凯王精制剁辣椒	苯甲酸	1
8802	凯王精制剁辣椒	钠	1
8801	东魁杨梅干	脱氢乙酸	1
8800	东魁杨梅干	钠	1
8799	饮用天然山泉水	铜	1
8798	三皇脆瓜	防腐剂	1
8797	广式粒粒红豆	霉菌	1
8796	原味方蛋糕	脱氢乙酸	1
8795	原味方蛋糕	钠	1
8794	生煎包	铝	2
8793	凉拌鸡爪	钠	3
8792	活松叶蟹	镉	1
8791	油菜花粉	铅	3
8790	芝麻满口香	日落黄	1
8789	腌白菜	二氧化硫	1
8788	“百利”咖喱粉	罗丹明B	1
8787	板栗酒	纽甜	1
8786	木根酱菜	防腐剂	1
8785	小笼包	铝	1
8784	厨宝牛排	莱克多巴胺	2
8783	鱼生	挥发性盐基氮	4
8782	幼活虾酱	挥发性盐基氮	1
8781	野生蛤蜊	氯霉素	1
8780	大蒜	防腐剂	2
8779	情人梅	日落黄	1
8778	杂粮松糕	霉菌	1
8777	优乐羊水果蛋糕	铝	1
8776	皇家麻饼	霉菌	1
8775	蓝夏天饮用纯净水	铜	1
8774	大馒头	环已基氨基磺酸钠	1
8773	大馒头	甜蜜素	1
8772	大馒头	钠	3
8771	速冻玉米饼	柠檬黄	1
8770	鲜活罗氏虾	呋喃西林代谢物	1
8769	肉松黄金条	丙酸	1
8768	肉松黄金条	钙	1
8767	肉松黄金条	钠	2
8766	高筋小麦粉	氯氰菊酯	1
8765	小排	氯霉素	1
8764	蕨根粉	铝	1
8763	好时巧克力味夹心饼干	霉菌	1
8762	无盐味精	谷氨酸钠	1
8761	无盐味精	钠	2
8760	乌骨鸡	甲氧苄啶	1
8759	乌骨鸡	甲氧苄氨嘧啶	1
8758	腊肉	亚硝酸盐	1
8757	腊肉	硝酸盐	1
8756	腊肉	钠	1
8755	枇杷蜂蜜	氯霉素	1
8754	酱肉	山梨酸	3
8753	酱肉	钾	3
8752	虾米	亚硫酸盐	4
8751	杂粮馒头	日落黄	1
8750	山楂汉堡	苯甲酸	1
8749	高粱酒	纽甜	3
8748	豆腐	山梨酸	1
8747	豆腐	钾	4
8746	小青菜	甲胺磷	4
8745	小青菜	磷	4
8744	养殖海蜇头	铝	1
8743	酱汁调味料	氨基酸态氮	1
8742	黄鳝	培氟沙星	2
8741	香辣萝卜	防腐剂	1
8740	香酥麻花	铝	1
8739	M6鲜选芹菜	毒死蜱	1
8738	本宫说了蒜	防腐剂	1
8737	金团	甜蜜素	2
8736	本鸡蛋	磺胺类	1
8735	晚籼米	镉	2
8734	牛乳蛋糕	霉菌	1
8733	大光明榨菜块/丝	苯甲酸	1
8732	大光明榨菜块/丝	钠	1
8731	黄花菜干	二氧化硫	4
8730	豆沙面包	糖精钠	1
8729	豆沙面包	钠	1
8728	糖醋萝卜	甜蜜素	1
8727	原浆酒	纽甜	1
8726	千岛森山谷山泉	铜	2
8725	芹菜	克百威	1
8724	田蟹	呋喃西林代谢物	2
8723	盐水鸡	苯甲酸	1
8722	盐水鸡	钠	2
8721	酱大蒜	糖精钠	1
8720	酱大蒜	钠	1
8719	鸡蛋糕	脱氢乙酸	4
8718	鸡蛋糕	钠	4
8717	欧香面包	脱氢乙酸	1
8716	欧香面包	钠	1
8715	鸿运饮用纯净水	铜	2
8714	宇露牌阿胶乌鸡口服液	铁	2
8713	杨场酱菜	防腐剂	1
8712	米线	苯甲酸	1
8711	小米辣	二氧化硫	1
8710	多宝鱼	环丙沙星	1
8709	脆酱瓜	苯甲酸	1
8708	脆酱瓜	钠	1
8707	无核绿葡萄干	柠檬黄	1
8706	美利萝卜干	苯甲酸	2
8705	美利萝卜干	钠	2
8704	迷你月饼	防腐剂	1
8703	虾干	亚硝酸盐	2
8702	虾干	硝酸盐	2
8701	虾干	钠	2
8700	丁优香米	镉	1
8699	龙井茶	氰戊菊酯	1
8698	精制海盐	氯化钠	1
8697	精制海盐	钠	1
8696	鸡	恩诺沙星	1
8695	提子饼干	山梨酸	1
8694	提子饼干	钾	1
8693	吉利年糕	柠檬黄	1
8692	小青蟹	呋喃西林代谢物	1
8691	芝麻满口香	霉菌	1
8690	养殖黑鱼	氟	1
8689	散装鲜活沼虾	呋喃西林代谢物	1
8688	老婆饼	防腐剂	3
8687	桂花鱼	呋喃西林代谢物	1
8686	巴西烤肉味多味花生	胭脂红	1
8685	圣源太空水饮用天然水	铜	1
8684	鹌鹑蛋	甲硝唑	2
8683	醋溜海蜇	铝	1
8682	风琴鱿鱼	N-二甲基亚硝胺	1
8681	鸡肉	磺胺类	1
8680	Aji尼西亚惊奇脆片饼干	日落黄	1
8679	越秀饮用纯净水	铜	1
8678	桂花糕	霉菌	3
8677	冬瓜茶	脱氢乙酸	2
8676	山楂汉堡	防腐剂	1
8675	鸭舌	亚硝酸盐	1
8674	鸭舌	硝酸盐	1
8673	鸭舌	钠	1
8672	面包	环已基氨基磺酸钠	1
8671	面包	甜蜜素	1
8670	面包	钠	1
8669	泥鳅	氟	4
8668	盐渍海蜇头	山梨酸	5
8667	小肠卷	苯甲酸	1
8666	小肠卷	钠	1
8665	速食黑凉粉	霉菌	1
8664	家家欢软丝米	镉	1
8663	草莓芝士饼	霉菌	1
8662	腐竹	甲醛	1
8661	腐竹	钠	3
8660	月饼	脱氢乙酸	1
8659	月饼	钠	1
8658	香辣鳗丝	日落黄	1
8657	油辣雪菜	防腐剂	3
8656	海蜇边	铝	7
8655	蛋糕	沙门氏菌	1
8654	珍迪牌忆帮口服液	二十二碳六烯酸	1
8653	乐源菠萝混合果汁饮料	霉菌	1
8652	卤猪肚	莱克多巴胺	1
8651	腌大蒜	糖精钠	5
8650	腌大蒜	钠	7
8649	杨梅酒	乙酰磺胺酸钾	1
8648	杨梅酒	安赛蜜	1
8647	杨梅酒	钾	1
8646	糕点	柠檬黄	1
8645	贵州米粉	山梨酸	1
8644	贵州米粉	钾	1
8643	黄瓜	异丙威	3
8642	香肠	环已基氨基磺酸钠	1
8641	香肠	钠	6
8640	香槟梅肉	环己基氨基磺酸钠	1
8639	香槟梅肉	甜蜜素	1
8638	香槟梅肉	钠	1
8637	双缸王酱油	氨基酸态氮	1
8636	长白山椴树蜜	氯霉素	1
8635	胖子开洋	亚硫酸盐	1
8634	金桔柠檬茶	二氧化硫	1
8633	三黄鸡	尼卡巴嗪	1
8632	萧山倒笃菜	防腐剂	1
8631	西湖藕粉	霉菌	7
8630	酱瓜	防腐剂	20
8629	红烧牛肉	莱克多巴胺	1
8628	Σ鱼片	山梨酸	1
8627	Σ鱼片	钾	1
8626	腌辣椒	防腐剂	1
8625	圆头年糕	脱氢乙酸	1
8624	圆头年糕	钠	1
8623	乌牛大米	镉	1
8622	湘纯·油米香有机山茶油	特丁基对苯二酚	1
8621	卤鸭头	亚硝酸盐	2
8620	卤鸭头	硝酸盐	2
8619	鸭蛋	氟甲砜霉素	9
8618	鸭蛋	甲砜霉素	12
8617	养殖黄鳝	恩诺沙星	1
8616	黄瓜鱼中	恩诺沙星	1
8615	黄瓜鱼中	环丙沙星	1
8614	年糕	山梨酸	9
8613	年糕	钾	9
8612	青团	山梨酸	1
8611	青团	钾	1
8610	香糯紫薯酥	环己基氨基磺酸钠	1
8609	香糯紫薯酥	甜蜜素	1
8608	香糯紫薯酥	钠	1
8607	红梅大师傅味精	谷氨酸钠	1
8606	红梅大师傅味精	钠	1
8605	鸡精调味料	呈味核苷酸二钠	1
8604	鸡精调味料	核苷酸	2
8603	鸡精调味料	钠	9
8602	加饭酒	β-苯乙醇	1
8601	虎皮鸡爪	山梨酸	3
8600	虎皮鸡爪	钾	3
8599	临安小核桃仁	霉菌	1
8598	猪精肉	呋喃唑酮	1
8597	提子蛋糕	防腐剂	1
8596	脆什锦	防腐剂	1
8595	千岛蓝泉饮用纯净水	铜	1
8594	红糖包	甜蜜素	3
8593	安竹源天然山泉水	亚硝酸盐	1
8592	安竹源天然山泉水	硝酸盐	1
8591	酱香肘	山梨酸	1
8590	猪肝	苯甲酸	1
8589	西兰花压片糖果	铅	1
8588	家乡果园西梅	亮蓝	1
8587	凉拌海蜇皮	铝	2
8586	猪耳朵	亚硝酸盐	1
8585	猪耳朵	硝酸盐	1
8584	猪耳朵	钠	4
8583	糯米老酒	氨基酸态氮	1
8582	韩式半梅	日落黄	1
8581	西湖土烧桂花酒	阿斯巴甜	1
8580	五香咸脆花生	霉菌	1
8579	牦牛肉干	日落黄	1
8578	山鸡蛋	氟	3
8577	老醋泡海蜇	铝	2
8576	大蒜	苯甲酸	1
8575	普陀山纯净水	铜	2
8574	水果蛋糕	霉菌	2
8573	唐人康牌参芪胶囊	格列本脲	1
8572	猪肝	恩诺沙星	4
8571	猪肝	环丙沙星	3
8570	绿豆饼	铝	1
8569	乌溪江饮用天然水	铜	1
8568	发糕	甜蜜素	2
8567	鸡爪	糖精钠	2
8566	健丽饮用纯净水	铜	1
8565	河虾	氟	1
8564	经点蓝莓果汁饮料	苋菜红	1
8563	肉包	甜蜜素	5
8562	果拿菲馅饼	脱氢乙酸	1
8561	果拿菲馅饼	钠	1
8560	腌鸡爪	苯甲酸	1
8559	腌鸡爪	钠	1
8558	大米	无机砷	1
8557	绿豆	铬	2
8556	娃娃泡菜	糖精钠	1
8555	娃娃泡菜	钠	1
8554	南非橙	克百威	1
8553	竹蔗冰糖浆	乙酰磺胺酸钾	1
8552	竹蔗冰糖浆	安赛蜜	1
8551	竹蔗冰糖浆	钾	1
8550	黄酒	山梨酸	1
8549	玫瑰花	亮蓝	1
8548	螺旋藻粉	铅	1
8547	虾	硝基呋喃代谢物	1
8546	肉杂鸡	尼卡巴嗪	1
8545	糖水荔枝罐头	乙二胺四乙酸二钠	2
8544	糖水荔枝罐头	钠	2
8543	洋槐蜂蜜	氟	2
8542	油麦菜	甲胺磷	3
8541	油麦菜	磷	3
8540	油皮	山梨酸	2
8539	油皮	钠	2
8538	香干	山梨酸	1
8537	红油笋丝	防腐剂	2
8536	糖醋大蒜	环己基氨基磺酸钠	1
8535	糖醋大蒜	钠	6
8534	酱瓜	苯甲酸	1
8533	山药卷	苯甲酸	1
8532	山药卷	钠	1
8531	黑财鱼	氟	1
8530	佛手酒	乙酰磺胺酸钾	1
8529	佛手酒	安赛蜜	1
8528	佛手酒	钾	1
8527	五香香干	脱氢乙酸	1
8526	五香香干	钠	1
8525	碧纯饮用纯净水	铜	1
8524	条形糕	脱氢乙酸	1
8523	条形糕	钠	1
8522	乌鸡	氟	4
8521	猪舌头	莱克多巴胺	4
8520	雷允上蜂蜜	氯霉素	1
8519	青茄	乐果	1
8518	鲫鱼散装	恩诺沙星	1
8517	鲫鱼散装	环丙沙星	1
8516	珍味飞鱼籽	胭脂红	2
8515	千岛湖龙山泉饮用天然水	铜	1
8514	花螺	氯霉素	1
8513	陈年老酒	β-苯乙醇	1
8512	香鸡	恩诺沙星	1
8511	香鸡	环丙沙星	1
8510	红豆味面包	防腐剂	1
8509	花生酱	苯甲酸	1
8508	花生酱	钠	3
8507	减盐盐渍海蜇皮	山梨酸	1
8506	减盐盐渍海蜇皮	钾	1
8505	南瓜月饼	防腐剂	1
8504	猕猴桃酒	甲醇	5
8503	豆腐王	脱氢乙酸	1
8502	豆腐王	钠	1
8501	兰花萝卜	苯甲酸	1
8500	兰花萝卜	钠	1
8499	泡椒凤爪	山梨酸	1
8498	泡椒凤爪	钾	2
8497	营养鲜鸡蛋	氟	2
8496	怪味豆	霉菌	1
8495	超级粉小麦粉	脱氧雪腐镰刀菌烯醇	1
8494	乌鸡	氯霉素	1
8493	饮用水	耗氧量	1
8492	精渍姜笋	苯甲酸	1
8491	精渍姜笋	钠	1
8490	香米糕	霉菌	2
8489	塔鱼	恩诺沙星	1
8488	山楂卷 	防腐剂	1
8487	香脆耳片	柠檬黄	1
8486	盐渍海蜇边	山梨酸	1
8485	香枣蛋挞蛋糕	苯甲酸	1
8484	香枣蛋挞蛋糕	钠	1
8483	水晶砂糖	还原糖	1
8482	无核干蜜枣	二氧化硫	1
8481	白海蜇头	铝	1
8480	红豆干	山梨酸	1
8479	红豆干	钾	1
8478	罗氏虾	呋喃西林代谢物	1
8477	蛋糕	防腐剂	1
8476	南瓜馒头	糖精钠	1
8475	南瓜馒头	钠	11
8474	大黄鱼	磺胺类	3
8473	饺子皮	苯甲酸	2
8472	生湿面	脱氢乙酸	1
8471	生湿面	钠	3
8470	老大昌仙醋	总酸	1
8469	话梅瓜子	胭脂红	1
8468	养殖黄鳝	甲氧苄啶	1
8467	调理面包	脱氢乙酸	1
8466	调理面包	钠	1
8465	衢香福香米籼米	镉	1
8464	冷鲜鸡	甲硝唑	1
8463	蜂蜜	霉菌	1
8462	老北京松塔	防腐剂	1
8461	黑麻椒盐	山梨酸	1
8460	黑麻椒盐	钾	1
8459	腌生瓜	苯甲酸	1
8458	腌生瓜	钠	1
8457	香辣脆豆角	防腐剂	1
8456	猪油酥糖	霉菌	1
8455	酱肉	苯甲酸	1
8454	酱肉	钠	2
8453	拌海蜇	铝	1
8452	蓝莓面包	防腐剂	1
8451	豆沙包	铝	1
8450	鲜猪肉	五氯酚酸钠	1
8449	鲜猪肉	钠	1
8448	冰糖葫芦	霉菌	1
8447	绿豆酥	脱氢乙酸	1
8446	洋槐蜜	氟	3
8445	菠萝椰果	甜蜜素	1
8444	水磨年糕	脱氢乙酸	4
8443	水磨年糕	钠	4
8442	麻辣豆角	防腐剂	2
8441	内糕	甜蜜素	1
8440	鲜三黄鸡鸡腿块	磺胺类	1
8439	麻辣豆角	甜蜜素	1
8438	开花馒头	糖精钠	1
8437	开花馒头	钠	1
8436	碳烤马面鱼片	山梨酸	1
8435	法式面包	防腐剂	2
8434	沙糖桔	三唑磷	1
8433	萧山萝卜条	亚硝酸盐	1
8432	萧山萝卜条	硝酸盐	1
8431	精制桃片	霉菌	1
8430	醋泡海蜇	铝	3
8429	高级包点粉	脱氧雪腐镰刀菌烯醇	1
8428	胖头鱼	恩诺沙星	1
8427	胖头鱼	环丙沙星	1
8426	小麦制品	铝	1
8425	黑加仑味梅	日落黄	1
8424	雪蜜	氯霉素	1
8423	面包	防腐剂	1
8422	开胃海蜇	铝	1
8421	煎炸过程用油	极性组分	1
8420	米烧40°	甜蜜素	1
8419	黄豆酱油	氨基酸态氮	1
8418	茼蒿	克百威	1
8417	绿豆饼	防腐剂	2
8416	凯王纯鲜剁辣椒	防腐剂	1
8415	黄酒	β-苯乙醇	8
8414	桑葚酒	铅	1
8413	榨菜	二氧化硫	5
8412	牛仔骨	莱克多巴胺	3
8411	特丰R马鹿角维D锌钙片	灰分	1
8410	珍味鱼籽	日落黄	1
8409	糖醋大蒜	糖精钠	4
8408	小麻饼	霉菌	1
8407	无蔗糖云枕蛋糕	丙二醇	1
8406	玉米梳打	柠檬黄	1
8405	桂圆肉	霉菌	1
8404	澄面	二氧化硫	1
8403	法式热狗面包	脱氢乙酸	1
8402	法式热狗面包	钠	1
8401	碧螺春	水胺硫磷	4
8400	碧螺春	磷	4
8399	熟鱼片	N-二甲基亚硝胺	2
8398	香辣海蜇	铝	1
8397	散装油炸花丝条	铝	1
8396	功夫辣椒酱	防腐剂	1
8395	泡菜	二氧化硫	1
8394	百禾牌钙铁锌片	铁	1
8393	酱黄瓜	乙酰磺胺酸钾	1
8392	酱黄瓜	安赛蜜	1
8391	酱黄瓜	钾	1
8390	上海青	啶虫脒	4
8389	红糖麻花	铝	1
8388	青豆芽	4-氯苯氧乙酸	11
8387	青豆芽	钠	11
8386	豆豉	脱氢乙酸	1
8385	中西式糕点	防腐剂	1
8384	张裕干红葡萄酒	甜蜜素	1
8383	高公油辣椒	苯甲酸	1
8382	高公油辣椒	钠	1
8381	蒜香花生	二氧化硫	2
8380	舟山紫菜	铅	1
8379	高鳌山纯净水	耗氧量	1
8378	油焖海白菜	苯甲酸	1
8377	油焖海白菜	钠	1
8376	红糖馒头	柠檬黄	1
8375	红糖馒头	铝	2
8374	可可豆	胭脂红	1
8373	大排	多西环素	1
8372	蔬菜制品	防腐剂	1
8371	羊羔卷	甜蜜素	6
8370	甜馒头	甜蜜素	16
8369	鸡翅	山梨酸	1
8368	鸡翅	钾	1
8367	精制什锦菜	防腐剂	1
8366	中华面点超级粉	脱氧雪腐镰刀菌烯醇	1
8365	海苔口味观音饼	铝	1
8364	小豆芽	6-苄基腺嘌呤	1
8363	味丹味精	谷氨酸钠	1
8362	味丹味精	钠	1
8361	山楂饴	苯甲酸	1
8360	山楂饴	钠	1
8359	康富来牌虫草王胶囊	铅	1
8358	精品高粱酒	纽甜	2
8357	老式面包	防腐剂	2
8356	鸡肉	恩诺沙星	1
8355	鸡蛋糕	山梨酸	2
8354	高粱馒头	环已基氨基磺酸钠	2
8353	高粱馒头	甜蜜素	2
8352	淡水草虾	恩诺沙星	1
8351	淡水草虾	环丙沙星	1
8350	吉利糕	霉菌	1
8349	米烧	环己基氨基磺酸钠	1
8348	米烧	甜蜜素	4
8347	米烧	钠	1
8346	菠菜	氟	5
8345	烧果［蜜饯凉果类］	铅	1
8344	糖勾麻花	铝	1
8343	承先牌五加皮酒	粗多糖	1
8342	柑桔砂囊	山梨酸	1
8341	散称红薯粉豆面	日落黄	1
8340	腊鸡腿	亚硝酸盐	2
8339	腊鸡腿	硝酸盐	2
8338	腊鸡腿	钠	2
8337	自然回归水	铜	1
8336	酱糖蒜	糖精钠	1
8335	酱糖蒜	钠	1
8334	全麦吐司	防腐剂	1
8333	油麦菜	乙酰甲胺磷	2
8332	流沙包	柠檬黄	1
8331	神州一家	苯甲酸	1
8330	神州一家	钠	1
8329	花蛤	氯霉素	1
8328	香鱼	恩诺沙星	1
8327	香鱼	环丙沙星	1
8326	剁椒杏鲍菇	苯甲酸	1
8325	剁椒杏鲍菇	钠	1
8324	桂花条	苯甲酸	1
8323	桂花条	钠	2
8322	香芹	克百威	1
8321	米醋	总酸	1
8320	刀切	环已基氨基磺酸钠	1
8319	刀切	甜蜜素	1
8318	刀切	钠	1
8317	蜂巢饼干	柠檬黄	1
8316	康纯味精	谷氨酸钠	1
8315	康纯味精	钠	1
8314	阿水五香榨菜	苯甲酸	1
8313	阿水五香榨菜	钠	1
8312	芝麻满口香	亮蓝	1
8311	脆姜片	防腐剂	1
8310	陈年老酒	氨基酸态氮	1
8309	内酯豆腐	苯甲酸	1
8308	年糕	纳他霉素	9
8307	六粮酒	甜蜜素	1
8306	南瓜饼	脱氢乙酸	1
8305	南瓜饼	钠	1
8304	大乌梅	亮蓝	1
8303	美味酱菜	防腐剂	1
8302	开心花生	日落黄	1
8301	南门黄杏脯	二氧化硫	1
8300	葱油海蜇丝	铝	1
8299	香辣榨菜片	苯甲酸	1
8298	香辣榨菜片	钠	1
8297	煎饺	脱氢乙酸	1
8296	煎饺	钠	1
8295	矿泉水	铜	7
8294	辣椒酱	苯甲酸	1
8293	辣椒酱	钠	1
8292	芝麻满口香	柠檬黄	1
8291	菜籽油	乙基麦芽酚	3
8290	混合酵素饮料	铅	1
8289	豫红味美鲜鸡精调味料	呈味核苷酸二钠	1
8288	豫红味美鲜鸡精调味料	核苷酸	1
8287	豫红味美鲜鸡精调味料	钠	1
8286	蔗糖风味糖浆	乙酰磺胺酸钾	1
8285	蔗糖风味糖浆	安赛蜜	1
8284	蔗糖风味糖浆	钾	1
8283	菠菜	阿维菌素	1
8282	绿豆酥	防腐剂	1
8281	汪刺鱼	地西泮	5
8280	食用油	特丁基对苯二酚	1
8279	腐竹	二氧化硫	1
8278	一次性纸杯	荧光性物质	1
8277	酱猪肉	苯甲酸	1
8276	酱猪肉	钠	1
8275	花生酱	防腐剂	1
8274	葱	铅	1
8273	晶泉饮用纯净水	铜	2
8272	古道驼铃青砖茶	氟	1
8271	芒果雪梨汁	甜蜜素	1
8270	豆沙包	脱氢乙酸	1
8269	白馒头	丙酸	1
8268	白馒头	钙	1
8267	小核桃仁	二氧化硫	2
8266	葱	镉	2
8265	草莓果干	胭脂红	1
8264	水果蛋糕	脱氢乙酸	3
8263	水果蛋糕	钠	4
8262	五香粉	二氧化硫	2
8261	包心菜	甲基异柳磷	4
8260	包心菜	磷	4
8259	金针菇	乙二胺四乙酸二钠	2
8258	金针菇	钠	2
8257	广式哈蜜瓜味月饼	防腐剂	1
8256	豆腐条	山梨酸	1
8255	豆腐条	钾	1
8254	黑米蛋糕	脱氢乙酸	1
8253	黑米蛋糕	钠	1
8252	散装菠菜	毒死蜱	2
8251	娃娃菜	敌敌畏	1
8250	睿农冰鲜三黄鸡	尼卡巴嗪	1
8249	QQ香瓜子	糖精钠	1
8248	QQ香瓜子	钠	1
8247	长条曲奇	柠檬黄	1
8246	绿豆冰糕	山梨酸	1
8245	绿豆冰糕	钾	1
8244	老面馒头	脱氢乙酸	3
8243	老面馒头	钠	3
8242	秘制萝卜	防腐剂	1
8241	小乃心土蜂蜜	氟	1
8240	香酥蟹	N-二甲基亚硝胺	1
8239	四川叙永特产烟熏水尾大竹笋干笋子干货水竹笋两斤特价88全国包邮	二氧化硫	1
8238	味精	铅	1
8237	葵花籽	糖精钠	1
8236	葵花籽	钠	2
8235	红薯淀粉	霉菌	1
8234	花雕酒	邻苯二甲酸二丁酯	1
8233	奇异果	亮蓝	1
8232	桂花莲藕粉	霉菌	1
8231	一级大豆油	亚油酸	1
8230	一级大豆油	油酸	2
8229	千岛湖丹然天然水	铜	2
8228	咸蛋糕	山梨酸	1
8227	咸蛋糕	钾	1
8226	白姜芽	防腐剂	1
8225	花椒米醋	总酸	2
8224	爆烤味嫩豆干	山梨酸	1
8223	爆烤味嫩豆干	钾	1
8222	樱桃味果干	苋菜红	1
8221	一级大豆油	冷冻试验	1
8220	灯影牛肉丝	铬	1
8219	咸黄瓜	防腐剂	1
8218	马铃薯粉条	铝	1
8217	麻饼	沙门氏菌	1
8216	满汉味鲜精调味料	甜蜜素	3
8215	淡水虾	恩诺沙星	1
8214	蟹糊	挥发性盐基氮	1
8213	秘制五香味手磨豆干	山梨酸	1
8212	秘制五香味手磨豆干	钾	1
8211	四季豆	多菌灵	2
8210	味鲜精调味料	甜蜜素	4
8209	酱榨菜	防腐剂	1
8208	咸黄瓜	苯甲酸	1
8207	咸黄瓜	钠	1
8206	小青瓜	防腐剂	1
8205	秋葵干	细菌总数	1
8204	天目泉饮用天然水	铜	1
8203	祁门红茶	草甘膦	1
8202	墨鱼干	镉	1
8201	腌菜梗	苯甲酸	1
8200	腌菜梗	钠	1
8199	生干虾皮	N-二甲基亚硝胺	1
8198	红提	苯醚甲环唑	1
8197	黄金梨	乐果	1
8196	广式月饼	脱氢乙酸	1
8195	广式月饼	钠	1
8194	汤勺	钠	2
8193	汤勺	阴离子合成洗涤剂	2
8192	鲜蔬脆	糖精钠	1
8191	鲜蔬脆	钠	1
8190	白果	脱氢乙酸	1
8189	白果	钠	1
8188	鸡精调味料	谷氨酸钠	1
8187	酸奶果粒烘焙麦片	霉菌	1
8186	杯子	钠	4
8185	杯子	阴离子合成洗涤剂	4
8184	碧沃饮用纯净水	铜	1
8183	红糖馒头	乙酰磺胺酸钾	2
8182	红糖馒头	钾	3
8181	红鸡蛋	地美硝唑	1
8180	红提	氟	1
8179	椪柑果酒	甲醇	1
8178	韩式泡菜	防腐剂	1
8177	广式月饼	防腐剂	1
8176	莫干山香菇	总砷	1
8175	李家洋榨菜	总酸	1
8174	豆砂月饼	霉菌	1
8173	韩式泡菜	山梨酸	1
8172	韩式泡菜	钾	1
8171	芝麻月饼	霉菌	1
8170	每日水果干	钠	1
8169	绍兴花雕三年陈酿	甜蜜素	2
8168	豆腐干	☆苯甲酸及其钠盐	1
8167	盐津葡萄	钠	1
8166	黑麻月饼	霉菌	1
8165	鳕鱼烤鱼片	N-二甲基亚硝胺	1
8164	豇豆	乐果	1
8163	乌鳢	氟	1
8162	海水蟹	镉	1
8161	大西梅干	山梨酸	1
8160	大西梅干	钾	1
8159	玫瑰大头菜	钠	1
8158	大麦烧	甜蜜素	1
8157	嫩豆腐	山梨酸	1
8156	嫩豆腐	钾	1
8155	野芒果干	山梨酸	1
8154	野芒果干	钾	1
8153	功夫蛋	能量	1
8152	新疆椰枣	霉菌	1
8151	苏式陈皮豆沙月饼	钠	1
8150	扁泥鳅	恩诺沙星	1
8149	温州传统压榨红糖	不溶于水杂质	1
8148	功夫蛋	碳水化合物	1
8147	野生葛根粉	葛根素	1
8146	豆芽	4-氯苯氧乙酸	1
8145	豆芽	钠	1
8144	开心果	甜蜜素	1
8143	花生碎6－10目	霉菌	1
8142	鲜面	苯甲酸	1
8141	洋槐蜂蜜	地美硝唑	1
8140	草莓味水果月饼	霉菌	1
8139	明潮熟鱼片	N-二甲基亚硝胺	1
8138	即食凉拌海蜇	铝	1
8137	茄子	甲胺磷	2
8136	茄子	磷	3
8135	美味虾皮	盐分	1
8134	正宗话梅	糖精钠	2
8133	正宗话梅	钠	2
8132	盒马日日鲜 菠菜250g	毒死蜱	1
8131	昂刺鱼	恩诺沙星	4
8130	昂刺鱼	环丙沙星	3
8129	卤鸭肠	山梨酸	2
8128	卤鸭肠	钾	2
8127	东北老式月饼	防腐剂	1
8126	醋萝卜	糖精钠	1
8125	醋萝卜	钠	1
8124	凤梨味月饼	干燥失重	1
8123	赤砂糖	还原糖	2
8122	五香瓜子	甜蜜素	1
8121	辣椒	氟	1
8120	原味桃酥	净	1
8119	草虾	环丙沙星	13
8118	苏式五仁月饼	苯甲酸	2
8117	苏式五仁月饼	钠	2
8116	煎炸过程用油	乙基麦芽酚	1
8115	白胡椒粉	净	1
8114	泰式凤爪	山梨酸	1
8113	泰式凤爪	钾	1
8112	九制橄榄	柠檬黄	1
8111	面包	糖精钠	1
