	Entity1	Entity2	Stength
10763	长豆	克百威	1
10762	米线	二氧化硫	1
10761	豇豆	噻虫胺	1
10760	牛蛙	氟	23
10759	竹盐	碘	3
10758	豆芽	6-苄基腺嘌呤	1
10757	黄刺鱼	恩诺沙星	2
10756	黄刺鱼	环丙沙星	2
10755	黄刺鱼	孔雀石绿	1
10754	糖金桔	胭脂红	1
10753	生姜	镉	1
10752	香蕉	苯醚甲环唑	5
10751	粉条	二氧化硫	1
10750	韭菜	腐霉利	1
10749	虎皮蛋糕	柠檬黄	1
10748	桃桃红柚果汁茶饮料	茶多酚	1
10747	卤牛肉	山梨酸	7
10746	卤牛肉	钾	6
10745	奶油味葵花籽	甜蜜素	2
10744	黄酒	氨基酸态氮	27
10743	菠菜	铬	4
10742	卤鸭	山梨酸	1
10741	卤鸭	钾	1
10740	大蒜头	糖精钠	2
10739	大蒜头	钠	5
10738	茄子	甲氰菊酯	6
10737	高粱烧	总酸	1
10736	小麦烧酒	甜蜜素	1
10735	香糯蜜枣粽	金黄色葡萄球菌	1
10734	小龙虾	五氯酚酸钠	2
10733	小龙虾	钠	2
10732	绍兴花雕酒	氨基酸态氮	3
10731	茄子	噻虫胺	16
10730	橙味饮料	脱氢乙酸	1
10729	橙味饮料	钠	1
10728	辣椒	啶虫脒	7
10727	夏威夷果	霉菌	2
10726	精制料酒	脱氢乙酸	1
10725	精制料酒	钠	1
10724	黄桃干	乙二胺四乙酸二钠	1
10723	黄桃干	钠	1
10722	辣椒	甲氨基阿维菌素苯甲酸盐	4
10721	辣椒	苯甲酸	5
10720	辣椒	阿维菌素	4
10719	雪梨	毒死蜱	1
10718	嫩姜	噻虫胺	1
10717	香菇菜	啶虫脒	2
10716	小黄叶菜	阿维菌素	1
10715	茄子	噻虫嗪	6
10714	小黄叶菜	啶虫脒	2
10713	14Kg核桃仁	霉菌	1
10712	鸡蛋	地美硝唑	1
10711	鲜沃柑	丙溴磷	1
10710	鲜沃柑	磷	1
10709	油麦菜	阿维菌素	1
10708	小辣椒	噻虫胺	1
10707	坚果葛根粉	霉菌	1
10706	山椒花生	山梨酸	2
10705	山椒花生	钾	2
10704	香菇菜	阿维菌素	1
10703	福建杨梅	脱氢乙酸	1
10702	福建杨梅	钠	1
10701	螺丝椒	毒死蜱	1
10700	哈密瓜	乙酰甲胺磷	4
10699	哈密瓜	甲胺磷	4
10698	哈密瓜	磷	4
10697	三黄鸡	磺胺类	8
10696	大尖椒	氟	1
10695	红心小番薯	毒死蜱	1
10694	橙	氯唑磷	2
10693	橙	磷	3
10692	咸菜	苯甲酸	15
10691	咸菜	钠	15
10690	饮用天然水	耗氧量	1
10689	山药薏米芡实粉	霉菌	2
10688	青菜	氟	14
10687	年糕片	脱氢乙酸	25
10686	年糕片	钠	25
10685	咸菜	防腐剂	6
10684	饮用天然水	亚硝酸盐	1
10683	饮用天然水	硝酸盐	3
10682	猪后腿肉	磺胺类	1
10681	复配食品添加剂高分散白色剂	铅	1
10680	啤酒	原麦汁浓度	1
10679	方竹笋	防腐剂	1
10678	鲫鱼	呋喃唑酮	1
10677	沃柑	毒死蜱	1
10676	茄子	镉	1
10675	红豆薏米粉	霉菌	5
10674	沃柑A级	苯醚甲环唑	1
10673	香蕉	噻虫嗪	1
10672	珍珠粉圆	山梨酸	1
10671	珍珠粉圆	钾	1
10670	红鲤鱼	地西泮	3
10669	小黄鱼	恩诺沙星	1
10668	小黄鱼	环丙沙星	1
10667	高粱酒	糖精钠	6
10666	高粱酒	钠	6
10665	小台芒A级	吡唑醚菌酯	1
10664	小台芒	吡唑醚菌酯	24
10663	高粱烧酒	甜蜜素	2
10662	谷烧	糖精钠	1
10661	谷烧	钠	1
10660	甜面包	糖精钠	1
10659	甜面包	钠	1
10658	本鸡	挥发性盐基氮	1
10657	鸡蛋	甲硝唑	1
10656	花雕酒	氨基酸态氮	2
10655	玉米酒	糖精钠	1
10654	玉米酒	钠	1
10653	生姜	吡虫啉	1
10652	黑鱼	孔雀石绿	1
10651	东方树叶乌龙茶原味茶饮料	咖啡因	6
10650	山西晋霸老醋	不挥发酸	1
10649	荞麦烧	甜蜜素	5
10648	萝卜干	苯甲酸	1
10647	萝卜干	钠	20
10646	芝麻烧	甜蜜素	1
10645	姜	噻虫嗪	1
10644	水煮花生	苯甲酸	2
10643	水煮花生	钠	2
10642	黄桃鲜果捞	山梨酸	1
10641	黄桃鲜果捞	钾	1
10640	黄鳝	甲氧苄啶	1
10639	五粮酒	甜蜜素	1
10638	枣香萝卜头	防腐剂	1
10637	桂鱼	氯霉素	1
10636	薏米烧	甜蜜素	2
10635	沃柑	联苯菊酯	1
10634	盐焗腰果	霉菌	1
10633	黄酒	甜蜜素	1
10632	金鹿放心酱油	全氮	1
10631	小黄叶菜	毒死蜱	1
10630	萝卜干	糖精钠	6
10629	歙县滴水香	草甘膦	1
10628	长豆角	甲基异柳磷	2
10627	长豆角	磷	7
10626	生姜	甲拌磷	1
10625	生姜	磷	4
10624	会稽山绍兴花雕酒	山梨酸	1
10623	会稽山绍兴花雕酒	钾	1
10622	芹菜	甲拌磷	1
10621	芹菜	磷	1
10620	萝卜	氯氰菊酯	1
10619	云南杨梅	甜蜜素	1
10618	豇豆	水胺硫磷	1
10617	美国西梅	甜蜜素	1
10616	菠菜	毒死蜱	1
10615	菠菜	乐果	1
10614	青椒	噻虫胺	6
10613	会稽山绍兴花雕酒	甜蜜素	1
10612	上海青	毒死蜱	1
10611	小白菜	毒死蜱	1
10610	蜂蜜米露	日落黄	1
10609	丁香荔枝	氟	1
10608	长豆角	三唑磷	2
10607	粉条包	山梨酸	1
10606	粉条包	钾	1
10605	芝士脆	山梨酸	1
10604	芝士脆	钾	1
10603	香酥腰果	霉菌	2
10602	会稽山绍兴花雕酒	苯甲酸	1
10601	会稽山绍兴花雕酒	钠	2
10600	会稽山绍兴花雕酒	氨基酸态氮	1
10599	香菇菜	氟	1
10598	大香蕉	氟	1
